PARENTS	HPO_ID	ET	JT	DEF	FLAG
	HP:0003208	Fingerprint intracellular accumulation of autofluorescent lipopigment storage material	自己蛍光性脂肪色素蓄積物質の指紋型細胞内蓄積	An intracellular accumulation of autofluorescent lipopigment storage material in a trabecular or fingerprint-like pattern.	0
	HP:0003226	Rectilinear intracellular accumulation of autofluorescent lipopigment storage material	自己蛍光性脂肪色素蓄積物質の直線状細胞内蓄積	An intracellular accumulation of autofluorescent lipopigment storage material in a straight or rectilinear pattern.	0
	HP:0004090	obsolete Advanced maturation/advanced ossification of terminal thumb phalanx epiphysis	陳旧性|高度OR先端的OR進行型OR後生的|成熟OR成熟化|高度OR先端的OR進行型OR後生的|骨形成OR骨化OR骨化症|末端OR末端側ORターミナルOR終端OR終末OR末期|親指OR母指|指骨OR指節骨|骨端OR骨頭		0
	HP:0011551	Right sided atrium to left ventricle and absent left sided atrioventricular connection	右房から左室流入と左側房室結合欠損		0
	HP:0011692	Supraventricular tachycardia with a concealed accessory pathway on the right free wall	右側自由壁の副伝導路を伴う上室性頻拍		0
	HP:0011691	Supraventricular tachycardia with a concealed accessory pathway on the left free wall	左側自由壁の副伝導路を伴う上室性頻拍		0
	HP:0011697	Supraventricular tachycardia with a manifest accessory pathway on the right free wall	右自由壁の副伝導路の症状を伴う上室性頻拍		0
	HP:0003513	Reduced ratio of renal calcium clearance to creatinine clearance	腎カルシウムクリアランスとクレアチンクリアランス比の減少	A reduction of the ratio of renal calcium clearance to creatinine clearance to below 0.01.	1
	HP:0004138	obsolete Metaphyseal abnormality of middle phalanx of the 2nd finger	陳旧性|骨幹端|異常OR異常性OR奇形|中節骨|手指OR指ORフィンガー		1
	HP:0006916	Intraaxonal accumulation of curvilinear autofluorescent lipopigment storage material	曲線状自己蛍光性脂肪色素蓄積物質の軸索外蓄積	Curvilinear intracellular accumulation of autofluorescent lipopigment storage material within axons.	0
	HP:0011653	Double outlet right ventricle with non-committed ventricular septal defect and pulmonary stenosis	遠位型心室中隔欠損と肺動脈弁狭窄を伴う両大血管右室起始症	A double outlet right ventricle with a non-committed ventricular septal defect (VSD), which is a VSD that is anatomically related to, or close to, neither great vessel, being separated from both by considerable muscle, and also has a pulmonary stenosis; abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	1
	HP:0011696	Supraventricular tachycardia with a manifest accessory pathway on the left free wall	左自由壁の副伝導路の症状を伴う上室性頻拍		0
	HP:0004203	obsolete Short proximal phalanx of the ring finger	陳旧性|短いOR乏しいOR不足OR省略された|基節骨|環指ORくすり指		1
	HP:0003828	Variable expressivity	可変性OR可変OR不定OR変量OR変わりやすいOR変数|表現度OR発現度	A variable severity of phenotypic features.	1
	HP:0004066	obsolete Laterally deviated thumb phalanges	陳旧性|側方OR外側OR外側性ORラテラル|親指OR母指|指骨OR指節骨		1
	HP:0004161	obsolete Periosteal new bone of middle finger phalanges	陳旧性|骨膜|新しいOR新|骨OR骨組織|中指ORなか指|指骨OR指節骨		1
	HP:0004183	obsolete Abnormality of the epiphyses of the terminal phalanx of the middle finger	陳旧性|異常OR異常性OR奇形|骨端OR骨頭|末端OR末端側ORターミナルOR終端OR終末OR末期|指骨OR指節骨|中指ORなか指		0
	HP:0004631	Decreased cervical spine flexion due to contractures of posterior cervical muscles	後頚部筋拘縮による頚椎屈曲減少		0
	HP:0011186	Focal epileptiform discharges with limited propagation to contralateral hemisphere	対側半球へ拡大が制限された焦点性てんかん型放電	Focal epileptiform discharges with spreading to contralateral hemisphere but without secondary generalization.	0
	HP:0011463	Childhood onset	幼児期OR小児期|開始OR発生ORオンセットOR発症OR発病OR作用発現	Onset of disease at the age of between 1 and 5 years.	1
	HP:0001862	Acral ulceration and osteomyelitis leading to autoamputation of the digits (feet)	趾の自己切断となる肢端潰瘍および骨髄炎		0
	HP:0003466	Paradoxical increased cortisol secretion on dexamethasone suppression test	デキサメサゾン抑制試験での逆説的コルチゾール分泌の増加		1
	HP:0004594	Hump-shaped mound of bone in central and posterior portions of vertebral endplate	脊椎骨終板の中央および後部でのこぶ型骨		0
	HP:0007402	Areas of hypopigmentation and hyperpigmentation that do not follow Blaschko lines	Blaschko線に沿わない低色素および高色素の領域		0
	HP:0009621	obsolete Ulnar deviation of the thumb	陳旧性|尺側OR尺骨|偏差OR逸脱OR異常性OR偏向OR偏位|親指OR母指		1
	HP:0004174	obsolete Accessory middle phalanx of middle finger	陳旧性|付属ORアクセサリーOR副OR付属物|中節骨|中指ORなか指		1
	HP:0004192	obsolete Bracket epiphyses of the 4th finger	陳旧性|ブラケットOR角括弧|骨端OR骨頭|手指OR指ORフィンガー		1
	HP:0009234	Symphalangism of the proximal phalanx of the 5th finger with the 5th metatcarpal	第5指基節骨と第5中手骨の指関節癒合症	Fusion of the proximal phalanx of the 5th finger with the 5th metacarpal.	0
	HP:0009448	obsolete Aplasia of the phalanges of the 3rd finger	陳旧性|形成不全OR無形成|指骨OR指節骨|手指OR指ORフィンガー		1
	HP:0009478	Symphalangism of the proximal phalanx of the 4th finger with the 4th metatcarpal	第4指基節骨と第4中手骨の指関節癒合症	Fusion of the proximal phalanx of the 4th finger with the 4th metacarpal.	0
	HP:0009483	Symphalangism of the proximal phalanx of the 3rd finger with the 3rd metatcarpal	第3指基節骨と第3中手骨の指関節癒合症	Fusion of the proximal phalanx of the 3rd finger with the 3rd metacarpal.	0
	HP:0009598	Symphalangism of the proximal phalanx of the 2nd finger with the 2nd metatcarpal	第2指基節骨と第2中手骨の指関節癒合症	Fusion of the proximal phalanx of the 2nd finger with the 2nd metacarpal.	0
	HP:0011589	Common origin of the right brachiocephalic artery and left common carotid artery	右腕頭動脈および左総頚動脈の共通起始	The left common carotid artery has a common origin with the innominate artery.	0
	HP:0004110	obsolete Radially deviated index finger phalanges	陳旧性|指標OR指数ORインデックスOR示指OR指標をつける|指骨		1
	HP:0004909	Hypokalemic hypochloremic metabolic alkalosis	低カリウム血症性低クロール血症性代謝性アルカローシス		1
	HP:0005298	Atrioventricular canal defect with right ventricle aorta and pulmonary atresia	右室大動脈と肺動脈弁閉鎖を伴う房室管奇形		0
	HP:0007409	Absence of subcutaneous fat over entire body except buttocks, hips, and thighs	"臀部,股関節，状態を除く全身の皮下脂肪欠損"		0
	HP:0007561	Telangiectases in sun-exposed and nonexposed skin	太陽に暴露したおよび暴露していない皮膚の毛細血管拡張		1
	HP:0002723	Absence of bactericidal oxidative &apos;respiratory burst&apos; in phagocytes	貪食細胞での殺菌的酸化'呼吸バースト'の欠損	An absence of the phase of elevated metabolic activity, during which oxygen consumption increases, that occurs in neutrophils, monocytes, and macrophages shortly after phagocytosing material. An enhanced uptake of oxygen leads to the production, by an NADH dependent system, of hydrogen peroxide (H2O2), superoxide anions and hydroxyl radicals, which play a part in microbiocidal activity.	0
	HP:0004187	obsolete Prematurely fused epiphysis of terminal phalanx of the middle finger	陳旧性|未熟OR早まって|骨端OR骨頭|末端OR末端側ORターミナルOR終端OR終末OR末期|指骨OR指節骨|中指ORなか指		0
	HP:0011693	Supraventricular tachycardia with a concealed accessory pathway on the septum	中隔の副伝導路を伴う上室性頻拍		0
	HP:0002851	Increased number of CD4-/CD8- T cells expressing alpha/beta T-cell receptors	α/βT-細胞受容体を発現するCD4-/CD8-T細胞の増加	An abnormally increased proportion of CD4-negative, CD8-negative (double negative or DN) alpha-beta regulatory T cells (Tregs) as compared to total number of T cells.	0
	HP:0011698	Supraventricular tachycardia with a manifest accessory pathway on the septum	中隔の副伝導路症状を伴う上室性頻拍		0
	HP:0100483	Symphalangism of the proximal phalanx of the 2nd toe with the 2nd metatarsal	第2趾基節骨と第2中足骨の趾関節癒合症		0
	HP:0100484	Symphalangism of the proximal phalanx of the 3rd toe with the 3rd metatarsal	第3趾基節骨と第3中足骨の趾関節癒合症		0
	HP:0100485	Symphalangism of the proximal phalanx of the 4th toe with the 4th metatarsal	第4趾基節骨と第4中足骨の趾関節癒合症		0
	HP:0100486	Symphalangism of the proximal phalanx of the 5th toe with the 5th metatarsal	第5趾基節骨と第5中足骨の趾関節癒合症		0
	HP:0004194	obsolete Hypoplastic phalanges of the ring finger	陳旧性|低形成OR再生不良性|指骨OR指節骨|環指ORくすり指		1
	HP:0007916	obsolete Small anterior lens surface opacities	陳旧性|小さいOR少ないOR低分子|前側OR前|レンズ|表面OR面		1
61,60,59	HP:0003204	Intracellular accumulation of autofluorescent lipopigment storage material	自己蛍光性脂肪色素蓄積物質の細胞内蓄積	The intracellular accumulation of autofluorescent storage material.	0
	HP:0003466	Paradoxical increased cortisol secretion on dexamethasone suppression test	デキサメサゾン抑制試験での逆説的コルチゾール分泌の増加		0
	HP:0003679	Pace of progression	歩調ORペース|進行OR悪化OR増悪OR級数ORプログレッション		1
	HP:0005267	Premature delivery because of cervical insufficiency or membrane fragility	子宮頸部不全または膜脆弱性による早産		0
	HP:0011688	Supraventricular tachycardia with an accessory connection mediated pathway	副伝導路系を伴う上室性頻拍	Supraventricular tachycardia in which an accessory pathway connecting the atria and ventricles, apart from the AV node, participates as a necessary part of a reentrant mechanism.	0
	HP:0003403	EMG: decremental response of compound muscle action potential to repetitive nerve stimulation	筋電図:反復性刺激への複合筋活動電位(CMAP)の反応漸減	A compound muscle action potential (CMAP) is a type of electromyography (EMG). CMAP refers to a group of almost simultaneous action potentials from several muscle fibers in the same area evoked by stimulation of the supplying motor nerve and are recorded as one multipeaked summated action potential. This abnormality refers to a greater than normal decrease in the amplitude during the course of the investigation.	1
	HP:0004889	Intermittent episodes of respiratory insufficiency due to muscle weakness	筋虚弱による呼吸不全の間歇的エピソード		0
	HP:0012260	Abnormal central microtubular pair morphology of respiratory motile cilia	運動性繊毛の中央微小管ペア形態の異常	A structural anomaly of the two central microtubules of motile cilia with a 9+2 microtubuluar configuration.	0
	HP:0003329	Hair shafts flattened at irregular intervals and twisted through 180 degrees about their axes	不規則な間隔で軸に対して180度ねじれた平坦な毛髪軸		1
	HP:0003529	Parathormone-independent increased renal tubular calcium reabsorption	パラソルモン非依存性腎尿細管カルシウム再吸収増加	An increase in the reabsorption of calcium by the renal tubulus that is not associated with increased parathormone levels.	1
	HP:0005005	Femoral bowing present at birth, straightening with time	出生時にみられ時間とともに真っすぐなる大腿骨湾曲	Congenital onset bending or abnormal curvature of the femur that normalizes with age.	1
	HP:0006865	Sensorimotor polyneuropathy affecting arms more than legs	下肢より上肢を障害する感覚運動ポリニューロパチー		1
	HP:0009202	Fragmentation of the epiphysis of the proximal phalanx of the 5th finger	第5指基節骨骨端の断片化	Fragmented appearance of the epiphysis of the proximal phalanx of the 5th finger.	0
	HP:0009265	Fragmentation of the epiphysis of the proximal phalanx of the 4th finger	第4指基節骨骨端の断片化	Fragmented appearance of the epiphysis of the proximal phalanx of the 4th finger.	0
	HP:0009350	Fragmentation of the epiphysis of the proximal phalanx of the 3rd finger	第3指基節骨骨端の断片化	Fragmented appearance of the epiphysis of the proximal phalanx of the 3rd finger.	0
	HP:0009528	Fragmentation of the epiphysis of the proximal phalanx of the 2nd finger	第2指基節骨骨端の断片化		0
	HP:0009640	Synostosis of the proximal phalanx of the thumb with the 1st metatcarpal	母指基節骨-第1中手骨癒合症	Fusion of the proximal phalanx of the thumb with the 1st metacarpal.	0
	HP:0011543	Superior-inferior ventricles without criss-cross atrioventricular valves	上下配列心室を伴わない房室弁交叉		0
	HP:0011596	Left aortic arch with right descending aorta and right ductus arteriosus	右下行大動脈と右動脈管を伴う左側大動脈弓	The ring may be completed by the ductal ligament.	0
	HP:0011678	Tetralogy of Fallot with pulmonary atresia and major aortopulmonary collateral arteries	肺動脈弁閉鎖と主大動脈肺側副動脈を伴うFallot四徴症	A type of tetralogy of Fallot with pulmonary atresia in which all pulmonary blood flow is derived from major aortopulmonary collateral arteries (MAPCA).	1
